	('Cell Line: A549', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: CAL-12T', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: Calu-3', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: DMS153', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: DMS53', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1299', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1355', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H1437', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1650', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1666', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1703', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1734', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: true')	('Cell Line: H1781', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1792', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H1944', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H1975', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H209', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H2106', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H2228', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H23', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H2342', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H2405', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H358', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H441', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H446', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H460', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H524', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H526', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H661', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H69', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H82', u'Histology: SCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H838', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC15', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC44', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC78', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC827', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: Lou-NH91', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')
('ADO_Rme1_R28', 'Data-Type: Rme1')	0.328205757854	0.585755273754	0.887464495356	0.285340482429	-2.0909500953	-1.51071174071	1.39864343871	-0.568418781846	-1.85484289314	-1.1692635442	0.263696511242	0.50755896265	-1.69426322166	0.0137699356005	-0.0501028019814	0.330479842756	0.663012939393	0.357263274982	0.0509834724319	1.91310957327	0.835579591843	0.721677821748	1.0603176008	-2.42721792747	-0.276818220439	0.644239606591	-0.776215541295	0.0398722709149	-0.302130192794	-0.465144108584	0.167237248434	-0.840304343832	-0.339871671874	0.660218710583	0.660218710583	0.827288986737	1.16432057647
('AIMP2_Rme1_R26', 'Data-Type: Rme1')	0.0339325076808	-1.15058613439	0.789747343426	0.42737067837	0.526720967939	-0.167585865964	1.23246361241	-1.49803210925	0.785247007257	-2.25167893929	-0.165412878283	0.0770462805769	-0.0536287005404	1.54831581418	-0.206860939443	1.23612670732	0.972760686588	0.71174767939	0.243744251371	0.0713934436423	0.520023275436	-2.76897221501	-0.127577088472	-0.361470796797	0.541061308036	0.680222408716	0.0	-1.25450307716	0.0678342090639	0.282165978332	0.307984648206	0.163138317592	0.228112976441	-2.36637276486	-0.487226164357	0.912803681722	0.499943890106
('AKAP8L_Rme1_R171', 'Data-Type: Rme1')	0.189625803195	0.409237594552	-0.428849799177	4.04987016682	-1.55275779833	0.86172723032	0.897724181943	-0.769837423419	0.883720988567	0.211739984379	-1.22545890549	0.529724299535	-0.607106063148	-0.529569500389	0.736161024954	-0.128102834389	0.755969147679	-0.640236681732	0.152928513766	0.529724299535	-0.4198542626	-0.277652377171	0.375385716971	-0.69089667502	-0.935463118277	-0.112445756071	0.833529777018	-0.54671813219	-0.258230610243	0.74268370483	0.801869759323	0.477979818241	-1.35357367495	0.235279972438	-1.14616493526	-1.09257944386	-0.959383992353
('AKAP8_Rme1_R188', 'Data-Type: Rme1')	-0.576158203603	1.25665843436	-0.0220962319561	-1.252903557	0.944320770025	1.88565637142	-1.19536793877	-1.19457364672	0.371622030348	1.04591995473	0.0939521285814	-0.348335320207	-0.457233328978	0.00438356928524	-1.65205123031	0.907196565204	0.0856174942431	0.384759590663	-1.41850342746	-0.28796285485	-0.611553727428	-1.10087002746	0.338100181959	-0.966532959152	0.148323699556	1.92882705761	-1.03538783044	-1.73037433578	-0.165366523033	0.398545926654	0.859849357646	2.15926283241	0.453717403615	1.1291835674	-0.559716182342	0.0939521285814	0.0851382612046
('AKAP8_Rme1_R233', 'Data-Type: Rme1')	-1.48460019667	-1.3040823956	0.232464423343	0.0	0.151889037006	0.983548486417	1.0294029053	-1.48460019667	0.503703512484	-2.00012837283	-0.186281412785	1.55533974024	-0.419164291719	-0.68126983348	1.82810867046	0.696220132244	0.0	0.968247722745	-0.821734155859	0.681034231002	0.390915140524	-1.5570853092	1.04348846475	-0.864748725847	0.233748898123	1.12604756443	0.0	-0.163107962504	-0.172825261878	0.532178851449	1.19051374618	0.0	-0.343897255357	-1.19696931598	-0.958231872318	0.721460268796	-0.229585236792
('AKT1S1_Rme1_R51', 'Data-Type: Rme1')	-0.237266539244	0.0	-0.771041118898	1.53447622358	-0.592875554533	1.35239610135	1.00493870613	-1.25180918552	-1.04401750582	0.0	0.496906088075	0.399688445689	0.0961399406308	-0.487961705718	-0.182181033993	0.414084871542	0.933233558781	-0.175915330258	-0.685980551972	1.35239610135	0.216536818803	0.0	1.98026809238	-0.998363257434	0.0697156111497	1.04609925063	0.0	-2.15097970325	1.16756812553	-0.415913098703	-1.32113014886	-0.465770465585	-0.625380285694	0.0	-1.66918624478	0.828883155031	0.182440639598
('ALYREF_Rme1_R197', 'Data-Type: Rme1')	-0.00329499752381	-0.379153782851	-1.16959953012	0.494540430717	-0.57684512553	1.96266519526	-0.0990569862935	0.741192611088	0.290262086534	-0.0630420126034	-0.776391529739	0.717070675369	-0.875114880351	-0.0389180932015	0.891839956259	0.706474419856	1.45888777834	1.61926053551	-0.328811518827	0.678354690971	-1.34601192689	-0.64895859717	1.9509379913	-0.114833122749	-1.78721057144	1.96266519526	-0.504654487494	-0.271729312733	0.499973037812	-1.58787471712	-0.856970047028	0.405529188739	-0.959017621301	-0.0722374831995	-1.09052847854	0.409560956579	-1.23895992688
('ALYREF_Rme1_R204', 'Data-Type: Rme1')	-0.430410945175	-0.57193261882	-0.206404375384	1.53986022111	1.04332724126	0.695082540364	-0.32485381502	0.0578116501021	-0.170533425106	-1.44918011349	-0.658493613484	-1.48722533396	-1.34686719446	0.761000798062	-0.832455647884	-0.2954569785	2.07453113867	0.676681836935	-0.654545146842	0.589076283898	-1.21436691489	-1.16830233677	1.71321101314	0.253156369863	0.192980468439	0.933797234587	-0.32485381502	1.7948379519	-0.604377473411	-0.958350565588	1.09713553341	1.15923257471	0.272947842663	-1.11367612976	-0.543633048237	0.815350874009	-1.31410208132
('ALYREF_Rme1_R38', 'Data-Type: Rme1')	-0.0915713821908	-0.742292656404	0.375341809677	-0.15742468061	0.820885789809	1.38467813815	-1.17527026919	0.660268090877	0.942147955422	-0.683445311379	0.147174952824	-0.796838887237	-0.934589388381	0.798445528077	-0.417109222661	0.562103485469	0.133560278224	1.61971423497	-0.565527296705	0.635346277466	-0.671154122371	-1.30876886933	1.65483144206	-0.288504628954	-0.610464920818	2.08703635978	-1.56365736332	-0.0270883180826	1.20234292295	-2.61215156549	-0.365724842349	1.33218862823	-0.580373363031	-0.235672029784	-0.632528626643	0.473344133706	-0.369252282767
('ALYREF_Rme1_R50', 'Data-Type: Rme1')	-0.501695599977	1.14650684884	0.562489823223	-0.660309101898	-0.326713540984	2.46622406236	-1.06226834776	0.808424887617	0.499110814396	0.626162676312	-0.236351493726	-0.684698070953	-1.4026939226	0.491746952145	-1.40572657062	0.668580446999	-0.23499870282	1.64808088423	0.187062525859	-0.233122250566	-1.75954818693	0.817168961206	0.724457934334	-0.510411704062	-0.570063410033	1.77637004595	-0.575673996681	-0.112053031299	0.834615339157	-1.52630074685	-1.0928626525	0.781550877295	-0.481968695445	0.419963909129	-1.03871402146	1.06465421088	-1.10699715277
