	('Cell Line: A549', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: CAL-12T', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: Calu-3', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: DMS153', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: DMS53', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1299', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1355', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H1437', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1650', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1666', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1703', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1734', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: true')	('Cell Line: H1781', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H1792', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H1944', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H1975', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H209', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H2106', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H2228', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H23', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H2342', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H2405', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H358', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H441', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H446', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H460', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('Cell Line: H524', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H526', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H661', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: H69', u'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H82', u'Histology: SCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('Cell Line: H838', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC15', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC44', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC78', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: HCC827', u'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Cell Line: Lou-NH91', u'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')
('A2M_AcK_K1162', 'Data-Type: AcK')	-1.54005315971	-0.863863804134	-0.537284931481	3.11400239675	0.685517992885	-0.370365305992	-0.66138994267	-0.616202724936	1.22659812981	-0.79347502239	0.0103388060143	0.505406126674	-1.59916067337	-0.992145902365	1.87938248456	0.0658284925344	0.0184857933693	-0.219652907905	-0.278630259027	-1.07517168008	0.3070209639	-0.193867470811	-0.434767554148	-1.11916204236	1.33056362764	-0.0292298190041	0.865676443379	0.0814402266351	-0.509609105924	0.268437874826	1.7049332178	0.0526480496462	0.325908624754	-0.58917353305	-0.878361930776	-0.515277329349	1.37465584831
('AASDHPPT_AcK_K151', 'Data-Type: AcK')	-1.42927295904	0.388200544091	-0.435191980877	0.0	-1.54059232123	0.645801332105	0.865656777622	-0.255501947582	1.17791822898	-0.711190403047	-0.35734766201	-1.24787524086	-2.67826781528	0.847273650483	-1.10650970541	-0.0552573320129	0.391529254269	0.944719376341	0.479390541478	0.599376265048	1.54726501756	-0.12732494371	0.926355194622	-0.376226654958	-1.15776194605	-0.300718979622	1.52025080727	1.22068222518	0.656305093495	1.06081938467	0.840614369686	0.0	-0.688821861203	-1.43863716114	0.12065215254	-0.44940099451	0.123089693111
('ACAT1_AcK_K174', 'Data-Type: AcK')	-1.21198059713	0.34975888078	-1.11856839881	0.308585660574	-0.968196373517	0.273829347401	1.03329715699	-0.0514793254382	-1.73080655215	-1.41622684045	0.646392864519	-0.856096483925	-1.08016497591	1.1558385507	1.65875279442	-0.832312821073	1.63048467012	1.22167712993	0.0218797467415	-0.170795690421	-0.577884492305	-0.475370884979	0.0801840214601	-0.583806509963	-1.04186614459	0.390788559662	1.78452262275	2.03445652495	-0.203681857359	0.24592044048	1.06738206947	-0.0250083018143	-0.642064369036	-1.77585489049	0.184199302097	0.0524922876607	0.621722878662
('ACAT2_AcK_K170', 'Data-Type: AcK')	-0.285248290523	-0.344970038663	1.06873927923	1.48788172967	-0.376366377406	0.595022440454	0.847111840955	-0.54843789945	0.499153326295	-0.749485675405	-0.36501376137	0.776255368439	-0.35645551328	0.119384134081	0.623582014829	-0.143094670155	1.13931456717	0.779931496581	-2.34026635766	0.635005566276	0.779931496581	-0.899142394919	-0.818071477811	-0.102435760961	-0.895843594047	-0.789937092764	0.449248335541	-0.41701639617	-0.771048864296	0.276808431804	3.31403461742	0.284470487479	-0.210268344283	-0.632041423507	-2.1932949092	-0.395157255059	-0.0422790358736
('ACOT13_AcK_K127', 'Data-Type: AcK')	-0.622544909855	-0.429046014921	0.321426933799	0.658181832177	-1.00317884254	0.671617517105	1.80636712498	0.156263512909	-1.90337554614	-0.388176447399	0.414915715681	-0.880352288892	-0.694389046743	-0.778697270116	1.33646053596	-0.9672535439	2.50005340704	1.01151459435	0.0318390670413	0.178239251237	-0.165650299876	-0.599140988145	0.420247891166	-0.625355709008	-1.36450511992	0.473056453233	1.039776331	0.760189937681	-0.95906019105	1.33089016465	0.724848114986	0.446397104983	-0.168724935899	-0.488160082061	-2.42982842635	0.153315105803	0.0318390670413
('ACOT9_AcK_K103', 'Data-Type: AcK')	-1.00370418808	0.524123747997	-0.254849001287	0.366732091618	-0.437170774201	0.238192910606	1.32556507998	-0.321513729	-0.930454432326	-0.748690749672	1.6309509943	-3.27301578519	-1.19704701378	0.124968533076	-0.822465634593	-0.528062519491	0.784545676642	0.255813838572	0.137512729089	-0.611526968556	-0.222108599382	-0.528062519491	1.41739230794	-0.336523302329	-0.96310285812	0.683869053372	1.68495654697	1.36142698629	-0.817279736076	0.754038029565	1.48672068883	-0.0338447043441	-0.128231697412	-0.942711362791	-0.183228999465	0.944884704436	0.561900656315
('ACTB_AcK_K328', 'Data-Type: AcK')	-0.898671109356	0.348393944164	-0.368718104099	2.19323632983	-0.400693933492	-0.55904004788	-0.368718104099	-0.798622936482	0.541950135615	-0.234454922965	-0.505912996322	-0.140067712088	-1.86230958635	-0.158634907217	-0.505912996322	0.0819997260129	2.13055097659	1.01668187461	-1.91792170596	0.823142288647	-0.213386646917	-0.169645640811	-0.810141820283	-0.0397233950898	-0.244089420913	-1.01128760658	1.18575335072	0.945123309499	-0.525732916761	2.03503606546	2.1285119743	0.0957527733317	-0.290025164119	-0.0347479258059	-1.05925992831	-0.525732916761	0.117319696226
('ACTB_AcK_K61', 'Data-Type: AcK')	-0.607797286706	0.977036406791	0.216183095214	0.545422762865	-1.23851970342	0.232684134408	1.32079600532	-0.605492804719	1.80331145609	-0.268381918716	-0.311770715982	-0.148422294635	-1.80342142312	0.337235537659	1.16897445837	0.832200773784	0.603710045345	-0.669089963519	0.131651445026	1.12471908896	-0.0336307041583	-0.561763016705	-0.137395312088	-1.3863899022	-1.29510471608	-0.389017479497	-0.556510051681	-0.845796360794	-0.0467848558403	0.232684134408	2.99545276182	0.896123662773	-1.35078163932	-0.794542769251	-1.29895943109	0.192412124495	0.738974456207
('ACTR3_AcK_K348', 'Data-Type: AcK')	-0.0727484685925	0.195213351872	-0.00847547753484	0.0	0.0	-0.241763616439	-0.232841977989	-0.795945038571	0.872265936669	-1.00766713228	-0.159819227849	0.0354599897749	-2.38490986713	0.365429471617	3.08019864567	-0.232841977989	0.23932173106	-0.0510548081614	2.29978391817	0.911728813476	0.208036964096	-0.504466937384	-0.609582418995	-0.00381100150235	0.0	-0.489857793025	0.146587908014	0.0	-0.592135808527	0.0	0.0	0.0	0.822842414148	-0.891183645006	-0.859449042593	-0.847370613087	0.809055708083
('AHCY_AcK_K408', 'Data-Type: AcK')	-1.4566027873	-0.231947340542	0.174536211432	0.855633170627	-1.17159232822	0.127331307542	-1.22302106061	-0.371436117171	0.944695826024	-0.483128544541	-0.083059956759	-0.886574649565	-0.541070394875	-0.697027250431	-0.946291024736	0.0589730526612	1.60835963678	1.66529039327	-1.82432208216	0.308807427083	0.959478346665	0.141811797485	0.365952278829	0.790467365654	-0.0581102591403	-0.778656303836	1.54185186289	1.44964875334	0.896240063636	1.42913601242	1.70999685954	-0.259188592554	-1.44239350435	-1.15268891723	-1.21825845156	-0.34708106658	0.144240266288
