ptm	Channel 126: Normal Pool	Channel 127: H2228	Channel 128: H3122	Channel 129: HCC78	Channel 130: H661	Channel 131: H1781
PKP3_S313	NaN	NaN	NaN	NaN	NaN	NaN
TJP3_Y364	NaN	NaN	NaN	NaN	NaN	NaN
TJP2_S163	72.749612	97.387692	281.375052	151.3629	646.034081	972.41448
ACOT1_T56	218.175892	175.605714	58.6568152	52.83539	278.989137	997.4844
IRS1_Y989	4.393324	150.473844	67.10426	56.95678	195.8252885	42.880524
RANBP2_T19	NaN	NaN	NaN	NaN	NaN	NaN
ADGRF5_S1298	NaN	NaN	NaN	NaN	NaN	NaN
SART1_S84	18.18499934	195.641442	331.438216	183.1043	1140.421188	537.43752
SRRM1_S211	NaN	NaN	NaN	NaN	NaN	NaN
SH3PXD2A_S1041	NaN	NaN	NaN	NaN	NaN	NaN
INPPL1_T958	NaN	NaN	NaN	NaN	NaN	NaN
PLEKHM1_S482	155.390508	107.312418	103.82696	205.0013	209.148296	184.48944
PUF60_T60	888.747174	1032.184614	849.395964	918.985	7159.90431	5648.3544
PRPF38B_S481	31.261936	95.745522	89.052852	92.1	357.41033	239.6016
BCL7C_S126	538.995438	13.1312154	70.716964	88.1406	179.476333	113.30172
TNRC6B_S424	137.16867	89.348412	96.222	60.3654	397.59749	174.9168
CFL1_T25	460.6384306	1750.50306	865.606268	3656.93	8005.59916	3907.37364
TBC1D4_T749	NaN	NaN	NaN	NaN	NaN	NaN
CDK13_S1153	NaN	NaN	NaN	NaN	NaN	NaN
SMARCA4_S1617	0	33.697944	122.815	11.8251	17.0804017	71.41776
HERC1_S2705	NaN	NaN	NaN	NaN	NaN	NaN
CDK13_S1054	NaN	NaN	NaN	NaN	NaN	NaN
TMPRSS13_T125	NaN	NaN	NaN	NaN	NaN	NaN
HIST1H2BN_S65	NaN	NaN	NaN	NaN	NaN	NaN
RGPD8_S1478	NaN	NaN	NaN	NaN	NaN	NaN
UGP2_S13	246.999248	129.1669476	110.6106284	155.1616	387.0363387	604.89804
STAT1_S727	451.05873	275.6976	411.555356	313.3126	2278.53829	579.0144
EXOC2_S432	327.73584	177.5835	235.33268	113.664	425.94013	392.9352
DYNC1H1_S4368	1728.25694818	1249.6734834	1204.39146	608.2332	2278.564882	1441.47912
YWHAB_Y21	NaN	NaN	NaN	NaN	NaN	NaN
FUNDC2_S10	128.289484	31.743528	114.154672	91.6208	234.972729	272.6148
HIPK1_S355	NaN	NaN	NaN	NaN	NaN	NaN
CENPF_S3150	81.79428	232.538796	26.1181076	164.6553	1460.50189	512.6268
AFP_Y377	55.332098	57.96501	76.738292	100.967	304.62521	57.67788
UACA_S1353	1988.620474	115.03701582	373.1135012	15.158617	20883.29038	121.150512
ATN1_S168	1157.51943	1350.95358	1387.03578	1022.0218	6432.366303	2365.4208
FLVCR1_T69	343.751607	64.816638	260.378356	256.8733	800.079875	475.05264
EPPK1_T4773	25.924608	26.90058	97.41448	36.1374	262.822032	188.2524
CEP170_S633	134.001232	134.70753	80.44484	140.054	392.148069	177.46944
SRSF3_Y13	2.7900886	12.182154	23.60136	20.4862	147.235472	41.27664
PLCG1_Y1253	10.4711888	3.2203632	3.91413	43.7491	77.98381	63.70812
RPS6KB1_S447	612.803126	926.83824	2909.454	852.092	4843.15387	2086.686
TPM2_Y162	NaN	NaN	NaN	NaN	NaN	NaN
CTR9_S943	43.942552	19.651776	35.18106	33.4303	410.61372	73.74864
WDR62_T1053	258.2892332	426.651498	340.558368	228.91168	12710.51895	998.52384
SKA3_S155	154.827326	140.416992	127.408716	111.7024	3331.80586	201.71148
MYCBP2_T3470	36.979504	18.439158	52.946228	19.2925	160.490753	44.8884
EIF1_T27	39.2010562	59.640696	72.201416	184.5374	65.3556016	25.645152
HSPA4_S54	189.891468	194.57007	325.214468	361.2646	3134.87548	427.73184
EIF3A_S1188	69.364312	42.040578	38.177688	45.8339	542.514472	135.36756
PLN_S16	NaN	NaN	NaN	NaN	NaN	NaN
ZNF503_T223	86.347654	85.272114	71.719204	59.1548	678.27328	144.40152
CTNND1_S252	82.090324	37.905912	69.827592	25.3876	69.268836	78.30648
PRRC2C_Y1218	11.9747858	74.2999218	69.7230644	376.1701	645.76456	115.6404
RB1_S816	NaN	NaN	NaN	NaN	NaN	NaN
MTOR_Y2449	317.634066	137.228412	300.03632	171.6184	1386.959498	457.56936
