	DMS53	H526	H69	H82	H446	
TNS3_phospho_S850	-1.50077652939	-5.85028989543	-4.56719163196	-5.88582460643	-4.62622144505	
RBM15B_phospho_S237	-1.09071050267	0.0125696082961	-2.69643487029	-2.70678817567	-0.718059602475	
PCBP2_phospho_S50	-1.69596137089	0.48013518351	0.914028642038	-1.20978273336	-1.66614237969	
ZMYND8_phospho_S486	-1.35710120227	0.717260260121	-2.59707772464	-0.36108124711	-0.788222284246	
RBL2_phospho_S639	-0.47664402898	0.0166548363401	-1.69845422787	-1.98365931948	-1.76426181181	
NPM1_phospho_S217	4.7397705346	2.58318486336	0.479565223913	-4.9299077351	5.43892372854	
SRSF3_phospho_T70	-1.58137720815	-0.208334716698	-0.52780730654	-1.20230869921	-1.80461857299	
HIST1H1C_phospho_T31	1.87687280728	3.68204987389	3.92490524743	-0.687293695036	3.95092884824	
SART1_phospho_S84	4.95470839345	4.19527696206	0.731185225561	0.89367266593	4.00452213017	
DNAJC11_phospho_S26	-1.8966523919	3.05322760412	3.68506248494	0.403502200673	-0.922426916492	
MAN1C1_phospho_S164	-7.50615494296	-4.85039917904	-5.47048166422	-5.86323668793	-4.87989383927	
ILF3_phospho_S503	-0.626273139232	-1.64985103057	-2.23088642135	-3.9972591079	-0.75830930526	
BCL11A_phospho_S201	-2.27759937783	-1.08604703276	0.762060212858	1.2786672962	-1.44552325616	
AKAP13_phospho_S1895	-2.21698502233	-5.7492646723	-5.07167556188	-6.0674479301	-3.71672170448	
SPEN_phospho_S2101	0.312296574938	-1.0102365339	-3.09687820798	-3.4154501535	-0.468585300136	
KANK2_phospho_S540	-8.81462817462	-7.8723936912	-8.97638823264	-10.6866457778	-7.5035850581	
SRRM1_phospho_Y604	nan	nan	nan	nan	nan	
CBL_phospho_S833	-2.42599992279	-1.00527301038	-3.69258533418	-3.15448727421	-3.07309903788	
RSL1D1_phospho_T340	7.05908035162	5.00131736361	4.8786754951	1.73948418578	7.04481642968	
SH3PXD2A_phospho_S1041	nan	nan	nan	nan	nan	
PLEKHM1_phospho_S482	-0.261177509986	-4.88323041645	-4.62972596502	-4.28751941347	-1.6223359203	
INPPL1_phospho_T958	nan	nan	nan	nan	nan	
SRRM1_phospho_S752	0.118015857114	0.195151472956	-0.63298703501	0.416389102681	-0.798119289532	
MFF_phospho_S146	-100	-2.16193872357	-100	-5.42883561671	-8.53273312189	
ATP7A_phospho_S1424	-4.04778001371	0.862705979404	-3.4303469127	-4.68610638896	-3.0635955525	
PUF60_phospho_T60	1.05995453931	-0.923586535708	-1.17490502933	-1.10275443631	0.171608093791	
PRPF38B_phospho_S481	-0.592240711015	1.64630865296	-0.17118574791	2.34087737862	-0.511463574027	
RB1_phospho_S780	nan	nan	nan	nan	nan	
CCDC50_phospho_S340	4.17186930235	2.06348620999	1.71767804665	-0.318880032068	3.54394608503	
EPB41L2_phospho_S16	-2.37232248461	-5.7203912288	-6.6407009369	-6.86858207046	-6.8514307777	
BCL7C_phospho_S126	-8.42060266735	-4.04287590092	-3.93811836849	-3.43526773983	-5.00893210183	
ESAM_phospho_S384	nan	nan	nan	nan	nan	
CFL1_phospho_T25	1.07137295373	1.46486147689	2.23014651504	-0.493344738372	0.715420958408	
CDK13_phospho_S1153	-3.4688203576	-0.803554355541	-2.89315651073	-2.3226108459	-1.9804705417	
TMPO_phospho_T160	-0.466037684432	-1.24232450607	-2.71383196798	-3.4411428371	-1.21455542542	
CSDE1_phospho_S123	0.376935323337	0.629760182673	-0.771394470131	-1.41623829731	-1.60673930041	
