ptm	Channel 126: Normal Pool	Channel 127: DMS53	Channel 128: H526	Channel 129: H69	Channel 130: H82	Channel 131: H446
TNS3_S850	9333.272088	3298.03435	161.778641766	393.706196	157.84258	377.922288
RBM15B_S237	3023.963712	1419.84193	3050.425371	466.518422	463.1825	1838.311467
PCBP2_S50	55.230714	17.0469	77.039907	104.071232	23.8781	17.402908
ZMYND8_S486	213.4167588	83.310617	350.869302	35.2720112	166.1622	123.580506
RBL2_S639	78.316308	56.28181	79.22565	24.130512	19.8021	23.054541
NPM1_S217	47.369448	1265.6436	283.866702	66.04833	1.55399	2054.83763
SRSF3_T70	1454.010642	485.876183	1258.498164	1008.513588	631.8829	416.2203058
HIST1H1C_T31	106.23605328	390.18174	1363.576116	1613.563784	65.97447	1642.93364
SART1_S84	17.5449078	544.08523	321.406974	29.124587	32.59668	281.599818
DNAJC11_S26	437.2695684	117.4356599	3629.62992	5624.2368	578.383	230.71247766
MAN1C1_S164	2910.804498	16.011619	100.9014468	65.6498844	50.00379	98.859547
ILF3_S503	2003.937138	1298.2463	638.600781	426.894308	125.484245	1184.70507
BCL11A_S201	56.7153468	11.69701	26.71578	96.184164	137.5998	20.8235482
AKAP13_S1895	2458.46664	528.79255	45.704946	73.1034456	36.65899	186.990525
SPEN_S2101	831.105954	1031.9699	412.614888	97.141132	77.8939	600.61775
KANK2_S540	83893.961466	186.3216069	358.01734164	166.55918668	50.901405	462.302800975
SRRM1_Y604	NaN	NaN	NaN	NaN	NaN	NaN
CBL_S833	1089.849222	202.79987	542.936562	84.292216	122.3971	129.500495
RSL1D1_T340	65.3648184	8716.43682	2093.585025	1922.966516	218.26343	8630.68206
SH3PXD2A_S1041	NaN	NaN	NaN	NaN	NaN	NaN
PLEKHM1_S482	324.147852	270.47111	10.9835901	13.0935304	16.59859	105.286181
INPPL1_T958	NaN	NaN	NaN	NaN	NaN	NaN
SRRM1_S752	471.3464574	511.5246422	539.618331	303.943012	629.051	271.07059
MFF_S146	637.477344	0	142.447998	0	14.79866	1.7212983
ATP7A_S1424	158.265954	9.569391	287.79807	14.6808156	6.14793	18.930119
PUF60_T60	1042.395858	2173.2555	549.54774	461.690588	485.3673	1174.064241
PRPF38B_S481	452.8977516	300.412463	1417.713423	402.2241288	2294.4282	317.7124892
RB1_S780	NaN	NaN	NaN	NaN	NaN	NaN
CCDC50_S340	75.7225476	1364.844	316.516578	249.056472	60.70616	883.20047
EPB41L2_S16	6079.13964	1174.09136	115.30092	60.924496	52.0227	52.644856
BCL7C_S126	2429.592354	7.0905419	147.4030593	158.504522	224.6026	75.4561432
ESAM_S384	NaN	NaN	NaN	NaN	NaN	NaN
CFL1_T25	3655.059282	7680.859498	10089.314718	17148.86656	2596.46732	6001.4693609
CDK13_S1153	179.61048	16.22231	102.905292	24.177132	35.9051	45.51459
TMPO_T160	9128.0570976	6608.25854	3858.348102	1391.34080572	840.4098515	3933.333161
CSDE1_S123	26.6381892	34.59183	41.217477	15.606008	9.98101	8.7463726
