	('Lou-NH91', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2342', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1703', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC15', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC78', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1781', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2228', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H441', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('HCC44', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('CAL-12T', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2405', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1666', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC827', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H1975', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H1650', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Calu-3', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H358', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1734', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: true')	('H1944', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1437', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1792', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('A549', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H23', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H838', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H460', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1299', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H661', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1355', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H446', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('DMS53', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2106', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('DMS153', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H82', 'Histology: SCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H69', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H524', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H209', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H526', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')
('TWISTNB phospho T322', 'Data-Type: phospho')	1.37604848488	-0.166123312491	-0.768336835191	0.0455373001754	0.926925075024	-0.366018496313	1.57643465894	0.355224923133	0.112730305345	-0.969680447534	0.595684446613	-0.866037051658	1.27820425469	0.708279585663	-1.44682538183	1.3506489703	0.88104428235	-0.120843605011	0.122978859772	-0.429814097823	-0.796294517113	-0.080996298057	0.13452243317	-1.10836664708	0.523219982444	-0.823175187346	0.600196529487	1.17113356256	0.0	0.0	-0.23829848919	-0.419296124628	0.0	0.0	0.0	-3.15870716328	0.0
('IRS1 phospho S277', 'Data-Type: phospho')	1.47364399314	-0.4040610128	-1.17500018493	0.798611384121	0.906479507741	0.00292334960781	1.42536495907	0.833043689689	0.871305674842	-2.28244521764	-0.229642855462	0.101763189118	0.989069002985	1.54716518266	-1.19802273092	0.371430144526	0.812786056508	0.47703400697	0.212087069156	-0.934866128958	-0.652509221096	0.753349722792	-0.0271435981673	0.0	-0.206644259954	-0.271732920252	1.26630031631	0.096957518189	0.693592250298	-1.33307923434	-0.919912033333	0.0	-1.05526356966	-1.62014906281	0.0	0.0	-1.3224349874
('ABLIM3 phospho S504', 'Data-Type: phospho')	2.0382230214	-1.25013375367	-1.06356983554	-0.590911027529	-1.27106130452	-1.04595108534	2.42869534571	1.25020381087	1.57978996228	-0.40459630085	-0.270722889714	0.859693390917	-0.472348431428	1.35419247832	0.162003248268	1.36267944313	1.19364518811	-1.20243343956	0.477498208526	0.0577542956182	0.123879214897	0.12692714559	0.0367335291166	-1.83199111803	0.344788724925	-0.569828592788	-1.81873478362	-0.247376073049	-0.601571798481	-0.466253985515	-0.449376315368	-0.00688564711651	-0.209264888796	0.0334304462301	0.18271026626	0.227479159186	-0.0673156084426
('LMNA phospho S326', 'Data-Type: phospho')	-0.085426783258	0.246818900759	0.781515917516	0.607989454741	1.52340082989	1.28359064828	0.927489945439	0.0	0.578639185385	0.0846040130346	0.364573369394	1.4715949198	-0.29701662231	0.302714438358	-0.488221359437	0.44573123035	0.656516483299	-0.312020062521	-0.280275058984	-0.133748280393	0.0	0.0	0.0	0.673231795338	-0.289387245795	-0.261238075323	0.669748772323	0.0	-1.5799831375	-3.66747774339	-0.168095992471	0.0127913037548	-0.265224812483	-1.47613374435	0.0	-0.46056811674	-0.866134172709
('HDAC3 phospho S424', 'Data-Type: phospho')	0.168781355267	0.18290966941	0.0231135996852	0.102059029346	0.779878286103	1.42543638557	1.07054357164	0.597607234652	0.536586374904	0.658823200919	0.318293623214	0.457269903518	0.258689344797	0.271151591781	-0.542091128309	0.49770015513	0.841090821411	0.981946666431	-0.969989202278	-0.719676197896	0.981946666431	1.00726278114	0.0245395098964	-0.0356118739326	0.60811154114	0.51869802823	0.726281459877	0.693652566132	-1.78054167729	-3.52608499198	-0.0383522545774	-0.174334241015	-1.37752072467	-1.26580018477	-0.832835240134	-0.769676332376	-1.6998593174
('MYOF phospho S731', 'Data-Type: phospho')	1.72853449096	-0.242460462446	0.834809229582	0.295579480279	1.37464438906	0.401127639605	1.35037262705	0.624074822399	0.403095848344	1.31966019583	0.117789638375	0.332136257761	0.628185959922	0.72390815579	0.567978288949	0.542998348536	-0.0179885648707	-0.218044252427	-0.126710281398	0.194654663614	-0.616324903374	0.154042213729	0.689238940545	-0.0602105730488	0.975069484644	0.339880654288	-0.013788258338	0.755129781574	-2.0200969419	-2.5438234907	-0.706318071772	-0.963310141605	-1.29173590993	-1.68472787429	-1.17203498091	-0.961780881944	-1.71355552188
('PLEC phospho T4030', 'Data-Type: phospho')	0.328738157261	0.725543081089	-0.430738346864	0.773447544836	1.73451862819	2.61321541993	1.69297701133	0.388355486607	-0.848271311058	0.146709037488	1.45013834804	0.229722018657	-0.12784849216	-0.294896505773	0.700514753474	0.796080487822	0.654484826179	0.359080954597	0.110838601725	0.294732408773	-0.315357853078	-0.0870572394461	-0.0535158848998	-0.282458580137	-0.111263375774	-0.474413928293	-0.660230489498	0.31806177815	-1.20163271471	-2.21380444578	-0.20738195007	0.536226489193	-0.982352079011	-1.71531350182	-1.81734158698	-0.878263661632	-1.15124308635
('NDNL2 phospho S60', 'Data-Type: phospho')	0.319315363956	0.399186202019	0.477588848034	0.174826356846	0.0707071558819	-0.13383017855	-0.0588699608851	0.189832398301	0.613766511591	0.72523676262	0.635639128961	0.783266067721	0.0	0.0	0.0	0.0	1.16799814146	0.668577616372	0.149018623794	0.68758605931	0.400274253244	-0.0944229966339	0.418602706815	0.0	0.597279750241	0.74951888225	0.28625301459	-0.152157547744	-2.08464751997	-2.2826559309	0.0	0.0	-2.02279920961	-1.81243063896	0.771268713664	0.582354890472	-2.22628346489
('LMNA phospho T19', 'Data-Type: phospho')	1.11421602471	0.358616240649	0.152603753045	0.505001445594	0.348836748431	-0.0510350198446	-0.382102829681	0.7563314232	0.621094829286	0.483520731894	1.08116372151	0.62746288783	-1.51557769482	-0.399816948409	-0.090505643783	-0.0953587286759	1.34537603045	0.15024889496	0.294198465375	0.540501441265	0.413181646397	0.371290704461	0.686545581222	-0.0838079014932	0.766333019409	0.753871115008	-0.555908728442	-0.638611223033	-0.701815226905	-1.61544798588	-0.248795198922	2.07904172438	-2.30112838898	-2.11577986213	0.0	-0.277383031697	-2.37636201638
('TRIP6 Rme1 R236', 'Data-Type: Rme1')	2.10336966488	0.0117771401418	-0.429064020879	-1.7506295761	1.23852256932	0.653261769586	1.61101412677	1.23238144115	0.418536806592	0.697469489019	-0.237883236161	0.198070896639	-0.519885424224	1.54712985652	1.11539168448	-0.0427893575367	-0.257628408898	-0.727641799677	0.484229658983	0.647947322906	-0.439744215779	0.712822144155	0.124647771446	-0.262477271161	-0.436760628972	0.519879997346	-1.2867355843	-0.464649030224	-1.65712689165	-2.36935890132	-0.0634936208917	0.515337577187	-0.813826255726	-0.945325972618	0.0	0.272022695189	-1.39879241619
