	('H2405', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1666', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC44', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('CAL-12T', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1944', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1437', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC827', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H1975', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H358', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1650', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Calu-3', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC78', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H441', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1781', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2228', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H1734', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: true')	('Lou-NH91', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2342', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC15', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1792', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('A549', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H838', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H23', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1355', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H661', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1703', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H460', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1299', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H446', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('DMS53', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H209', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('DMS153', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H2106', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H82', 'Histology: SCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H524', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H69', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H526', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')
('VDAC2 AcK K74', 'Data-Type: AcK')	0.566115760761	1.48605540128	-0.654541487068	-5.03124491644	-0.699088912528	-0.600987204591	0.407666250965	-0.105854268257	0.103205752315	0.100243446047	0.527748092127	0.0864519342181	-0.107061630397	-0.137983504646	0.142483365502	-0.266510219163	-0.138889498984	0.688063915597	-0.565427805561	0.629918102943	-0.909934034625	0.0334617388034	0.090490744928	0.419663154716	0.0323132149973	-0.265045133652	-0.0322307864108	0.0225185250585	-0.367312901118	-0.337117839286	1.05590089176	0.688063915597	0.947150379981	0.463464627825	0.648521009038	0.426523716244	0.653206202023
('VDAC1 AcK K224', 'Data-Type: AcK')	0.224302567622	1.5569865214	-0.959488199606	-2.8860081787	0.674353012128	-0.379107435724	-0.427878977094	-0.682299789774	0.376382875516	0.0857722231906	0.984887728242	0.348072663901	-1.5373378809	-0.877347704297	1.23111325494	-0.840466968887	0.246796846793	-0.265668226961	-0.675141058002	0.445863188135	-1.51163394421	0.0488595896397	0.162476309173	0.957390309894	-0.581195742714	-0.320566039045	-0.300726670776	-0.594059232034	-1.00593071013	-0.355057302312	1.45719204539	-0.568043932762	0.743285212713	1.00878608157	0.916901150116	1.42799347881	1.87054293476
('LMNA Rme1 R644', 'Data-Type: Rme1')	0.0691233244729	2.13987393425	-0.925545179927	-3.90283232897	1.39954741785	-0.53815343449	-0.623015702706	-0.422430056353	0.723013975123	0.641843956975	1.21069171492	-0.72806259411	0.514537365614	-0.124025205106	-0.767592245224	-0.0926278105648	-0.207346066747	-0.72806259411	0.666244107975	0.000372610079386	0.539953378683	0.0	0.100115987528	1.16945650003	-0.161670037982	-0.165247115288	0.31206695782	-0.445930247575	-0.49622891125	-0.657886089827	0.0	0.0	0.604316738586	0.255646328814	0.0	0.740561474355	-0.100710152845
('RBM19 phospho S489', 'Data-Type: phospho')	0.544197597098	1.97710357202	-1.19373799853	-3.63770819213	0.0876949446962	-0.147952117784	0.139168064859	-0.744453896957	0.746835844731	0.104303238562	0.0937365949685	0.632722572272	0.129597915398	0.0937365949685	0.446316535206	-0.468292515058	-0.505178486714	0.164786773753	-0.0262750590308	1.65055129981	0.727270401493	-0.3456520283	1.65055129981	0.0471696228122	-1.33619342126	0.813514262373	0.177050694724	-0.197513477228	0.254301711836	0.857408237741	-0.733612281703	-0.583817381195	1.43009428029	-0.760225028069	-0.804584152483	-1.11041038776	-0.172505635214
('DIEXF phospho S10', 'Data-Type: phospho')	0.192376652573	1.25732040478	0.0818118240275	-3.84773044347	-0.313815656532	0.596455295495	1.61571807106	-1.55134245505	0.665017056922	-0.479222984177	-0.493900122756	0.0	0.795700978269	0.0	0.0	-0.913471246098	0.196370410142	0.192376652573	0.883834583342	-0.445580864024	-0.0754472471107	-0.437246852026	0.746390704365	0.0372202934384	0.0	0.100561978154	0.853595864214	-0.194777624741	0.38039634136	1.01766677522	-0.41551117474	-0.7823053763	0.818061419708	-0.713409777251	0.0	-0.575636270507	0.808522789143
('ZNF652 phospho S197', 'Data-Type: phospho')	1.06780469712	2.03362206326	-0.916236726697	-3.72293403821	0.277448128711	0.759932055999	0.103069772653	-0.493423114122	-0.595044934769	-0.349587447368	-0.377404935206	0.314469088698	-0.14952166738	1.40633469375	0.634303919004	-0.999059148467	-0.458205824286	0.745542208295	0.729711618416	0.138212573119	-1.09642425493	-1.4861115049	0.0841159981187	-0.252536792828	1.12987422137	0.55477728859	-0.678720862485	-0.836867912044	-0.109172421589	1.06145737208	0.196692188456	0.152818197178	0.969297930835	-0.377404935206	-0.196193416152	-0.288777343474	1.02414326447
('GOLGA8A', 'Data-Type: Exp')	0.276246963973	0.756857028431	-1.74513448805	-1.68945276349	-1.64126044544	0.201208021157	0.925044266551	-1.74913761195	-1.58161725395	0.723877982068	0.145723522062	0.566757488547	0.808378954652	-1.71157150686	0.365776632862	0.305514116553	0.598320935334	0.389232822913	-0.55184081725	0.748603050697	-1.6564888316	0.650823459178	0.44367774107	0.618426873057	0.698802700002	0.560696952864	-1.68659280998	0.371462624491	0.482551432541	-1.53918981771	0.563432304127	0.0143872163315	0.806174453229	0.77273828617	0.840569099168	1.01526662075	0.901734797498
('FAM129A', 'Data-Type: Exp')	0.871426559086	0.335810270403	0.559185897518	-1.53925938736	0.117604296677	-1.49337015376	-1.49930507238	0.496375009034	-1.32530083572	0.279178865245	0.459691191271	1.21403949015	-0.896630473124	0.631288021815	0.998889686018	0.631975470993	0.784686125002	-0.731150873069	-1.26914699875	1.30298011733	-0.725007852118	-1.4285155936	0.262785914802	0.381295305226	1.10453274917	1.27033739797	0.611112322243	0.389419745023	1.56469993428	0.781797593399	0.63283544946	0.866034129476	-1.49146299366	-1.00043263098	-1.15400504211	-1.33931572782	-0.655077907143
('PLEKHM1 phospho S482', 'Data-Type: phospho')	0.947554583272	1.01350598457	1.1675235577	-2.99139788742	0.834522386182	-0.225539183572	0.609984127182	-0.74956338056	-0.843888122655	0.366193342942	0.744079575295	1.45547362158	0.242611224195	0.661957202751	0.599426924253	0.896272450834	1.38519360553	-0.257896325549	-0.654447459657	-0.114999683519	-0.654447459657	0.106453927385	-0.18074015177	-0.120037072605	-0.921102522253	0.136348422375	-1.13353256201	0.489744405778	0.816136398712	1.51426135068	-0.469968343917	0.318758350064	-0.328836269934	-0.397279542134	-0.593192670775	-1.13877277643	-2.53036002687
('CANX phospho S583', 'Data-Type: phospho')	0.917397987113	1.40451873046	-0.189988599982	-1.59753432117	-0.251793674932	0.884814255859	-1.65717986913	-0.811423199689	0.213918713353	-0.702787798107	0.711968192235	0.673744839509	-0.286609409588	-0.383493635847	1.1362173183	-1.79922573256	1.09487552069	-1.47862295178	0.856261863221	0.922598181525	-0.47544835103	0.376862578704	-1.15981889414	-1.16324869496	0.0569074428	0.571252802029	0.36489634585	-0.671552135965	1.20288298563	2.24003792477	-0.325466884017	0.210743164242	-0.537782125216	-0.771992112775	0.0	-0.916889029312	1.34095857391
('C5orf30 phospho S132', 'Data-Type: phospho')	0.334385484243	1.33576884471	1.18740855547	-4.02614405842	-1.03629496325	0.591453731896	-0.930680347777	-0.282839711566	0.267938523353	-0.378659037075	-0.310484266849	0.677935993793	-0.0158584772778	0.355656338982	0.701558306362	-0.694291857193	1.03477163491	0.417535828888	0.56189252521	0.125727022258	0.895816236263	-0.1959791917	0.454199586012	-0.749743314598	0.592242865934	-0.143161643406	0.532545902619	-0.202718930004	0.88114771127	1.6344766248	-0.909983917556	0.57338341977	-0.932781145966	-1.59229643752	-0.568997246548	-0.0249710542827	-0.159959535763
('RPS6KB1 phospho S447', 'Data-Type: phospho')	-0.648101680297	0.0775399738868	0.210552466058	-1.39412545111	-0.141682742941	0.702963311511	-0.737771299668	0.664571499109	1.27381054569	-0.349715841133	-3.37723211762	-0.18085455027	0.286568996977	0.631176401824	0.191200577489	0.792642297489	0.799156585131	-0.210923484644	-0.220591136103	-1.08341462371	-1.74502653203	-1.59225294516	0.886720468044	1.12894501851	-0.368360246567	0.875221864996	0.487846419843	1.53606005163	0.989869440316	-0.13062408147	-0.224109645091	0.698010680011	-0.428049337121	-1.1526602241	-0.00123414314021	0.624928465148	1.12894501851
